Année;Mois;Jour;Heure;Minute;Seconde;Hauteur d'eau (m)
1980;10;01;00;40;12;8,01
1980;10;01;00;45;00;7,95
1980;10;01;00;50;00;7,88
1980;10;01;00;55;00;7,84
1980;10;01;01;00;00;7,80
1980;10;01;01;05;00;7,76
1980;10;01;01;10;00;7,67
1980;10;01;01;15;00;7,53
1980;10;01;01;20;00;7,41
1980;10;01;01;25;00;7,31
1980;10;01;01;30;00;7,24
1980;10;01;01;35;00;7,18
1980;10;01;01;40;00;7,11
1980;10;01;01;45;00;7,04
1980;10;01;01;50;00;6,90
1980;10;01;01;55;00;6,77
1980;10;01;02;00;00;6,66
1980;10;01;02;05;00;6,48
1980;10;01;02;10;00;6,33
1980;10;01;02;15;00;6,12
1980;10;01;02;20;00;5,78
1980;10;01;02;25;00;5,48
1980;10;01;02;30;00;5,33
1980;10;01;02;35;00;4,82
1980;10;01;02;40;00;4,60
1980;10;01;02;45;00;4,43
1980;10;01;02;50;00;4,31
1980;10;01;02;55;00;4,17
1980;10;01;03;00;00;3,98
1980;10;01;03;05;00;3,78
1980;10;01;03;10;00;3,61
1980;10;01;03;15;00;3,40
1980;10;01;03;20;00;3,20
1980;10;01;03;25;00;3,03
1980;10;01;03;30;00;2,97
1980;10;01;03;35;00;2,90
1980;10;01;03;40;00;2,85
1980;10;01;03;45;00;2,80
1980;10;01;03;50;00;2,74
1980;10;01;03;55;00;2,68
1980;10;01;04;00;00;2,62
1980;10;01;04;05;00;2,56
1980;10;01;04;10;00;2,49
1980;10;01;04;15;00;2,37
1980;10;01;04;20;00;2,24
1980;10;01;04;25;00;2,14
1980;10;01;04;30;00;2,10
1980;10;01;04;35;00;2,05
1980;10;01;04;40;00;2,00
1980;10;01;04;45;00;1,96
1980;10;01;04;50;00;1,92
1980;10;01;04;55;00;1,88
1980;10;01;05;00;00;1,84
1980;10;01;05;05;00;1,80
1980;10;01;05;10;00;1,75
1980;10;01;05;15;00;1,69
1980;10;01;05;20;00;1,64
1980;10;01;05;25;00;1,59
1980;10;01;05;30;00;1,53
1980;10;01;05;35;00;1,45
1980;10;01;05;40;00;1,37
1980;10;01;05;45;00;1,31
1980;10;01;05;50;00;1,25
1980;10;01;05;55;00;1,19
1980;10;01;06;00;00;1,13
1980;10;01;06;05;00;1,07
1980;10;01;06;10;00;1,06
1980;10;01;06;15;00;1,07
1980;10;01;06;20;00;1,07
1980;10;01;06;25;00;1,04
1980;10;01;06;30;00;1,02
1980;10;01;06;35;00;1,00
1980;10;01;06;40;00;0,97
1980;10;01;06;45;00;0,95
1980;10;01;06;50;00;0,94
1980;10;01;06;55;00;0,93
1980;10;01;07;00;00;0,93
1980;10;01;07;05;00;0,93
1980;10;01;07;10;00;0,96
1980;10;01;07;15;00;0,98
1980;10;01;07;20;00;1,00
1980;10;01;07;25;00;1,02
1980;10;01;07;30;00;1,03
1980;10;01;07;35;00;1,04
1980;10;01;07;40;00;1,05
1980;10;01;07;45;00;1,06
1980;10;01;07;50;00;1,11
1980;10;01;07;55;00;1,17
1980;10;01;08;00;00;1,23
1980;10;01;08;05;00;1,29
1980;10;01;08;10;00;1,30
1980;10;01;08;15;00;1,27
1980;10;01;08;20;00;1,24
1980;10;01;08;25;00;1,21
1980;10;01;08;30;00;1,18
1980;10;01;08;35;00;1,23
1980;10;01;08;40;00;1,30
1980;10;01;08;45;00;1,37
1980;10;01;08;50;00;1,44
1980;10;01;08;55;00;1,53
1980;10;01;09;00;00;1,59
1980;10;01;09;05;00;1,65
1980;10;01;09;10;00;1,70
1980;10;01;09;15;00;1,78
1980;10;01;09;20;00;1,87
1980;10;01;09;25;00;1,97
1980;10;01;09;30;00;2,06
1980;10;01;09;35;00;3,63
1980;10;01;09;40;00;2,44
1980;10;01;09;45;00;3,16
1980;10;01;09;50;00;4,10
1980;10;01;09;55;00;4,67
1980;10;01;10;00;00;4,70
1980;10;01;10;05;00;4,72
1980;10;01;10;10;00;4,75
1980;10;01;10;15;00;4,78
1980;10;01;10;20;00;5,45
1980;10;01;10;25;00;5,63
1980;10;01;10;30;00;5,84
1980;10;01;10;35;00;6,05
1980;10;01;10;40;00;6,18
1980;10;01;10;45;00;6,31
1980;10;01;10;50;00;6,43
1980;10;01;10;55;00;6,59
1980;10;01;11;00;00;6,87
1980;10;01;11;05;00;6,99
1980;10;01;11;10;00;7,04
1980;10;01;11;15;00;7,08
1980;10;01;11;20;00;7,15
1980;10;01;11;25;00;7,26
1980;10;01;11;30;00;7,37
1980;10;01;11;35;00;7,48
1980;10;01;11;40;00;7,54
1980;10;01;11;45;00;7,60
1980;10;01;11;50;00;7,65
1980;10;01;11;55;00;7,70
1980;10;01;12;00;00;7,75
1980;10;01;12;05;00;7,79
1980;10;01;12;10;00;7,85
1980;10;01;12;15;00;7,91
1980;10;01;12;20;00;7,99
1980;10;01;12;25;00;8,00
1980;10;01;12;30;00;8,00
1980;10;01;12;35;00;8,00
1980;10;01;12;40;00;8,00
1980;10;01;12;45;00;8,00
1980;10;01;12;50;00;8,02
1980;10;01;12;55;00;8,04
1980;10;01;13;00;00;8,06
1980;10;01;13;05;00;8,08
1980;10;01;13;10;00;8,11
1980;10;01;13;15;00;8,12
1980;10;01;13;20;00;8,08
1980;10;01;13;25;00;8,05
1980;10;01;13;30;00;8,01
1980;10;01;13;35;00;7,98
1980;10;01;13;40;00;7,94
1980;10;01;13;45;00;7,91
1980;10;01;13;50;00;7,88
1980;10;01;13;55;00;7,89
1980;10;01;14;00;00;7,91
1980;10;01;14;05;00;7,93
1980;10;01;14;10;00;7,96
1980;10;01;14;15;00;7,98
1980;10;01;14;20;00;8,00
1980;10;01;14;25;00;8,04
1980;10;01;14;30;00;8,08
1980;10;01;14;35;00;8,11
1980;10;01;14;40;00;8,15
1980;10;01;14;45;00;8,25
1980;10;01;14;50;00;8,34
1980;10;01;14;55;00;8,38
1980;10;01;15;00;00;8,38
1980;10;01;15;05;00;8,38
