Année;Mois;Jour;Heure;Minute;Seconde;Hauteur d'eau (m)
1980;07;28;04;15;00;2,01
1980;07;28;04;16;00;2,01
1980;07;28;04;17;00;2,00
1980;07;28;04;18;00;2,00
1980;07;28;04;19;00;1,99
1980;07;28;04;20;00;1,99
1980;07;28;04;21;00;1,99
1980;07;28;04;22;00;1,98
1980;07;28;04;23;00;1,98
1980;07;28;04;24;00;1,97
1980;07;28;04;25;00;1,97
1980;07;28;04;26;00;1,97
1980;07;28;04;27;00;1,96
1980;07;28;04;28;00;1,96
1980;07;28;04;29;00;1,95
1980;07;28;04;30;00;1,95
1980;07;28;04;31;00;1,95
1980;07;28;04;32;00;1,94
1980;07;28;04;33;00;1,94
1980;07;28;04;34;00;1,93
1980;07;28;04;35;00;1,93
1980;07;28;04;36;00;1,93
1980;07;28;04;37;00;1,92
1980;07;28;04;38;00;1,92
1980;07;28;04;39;00;1,91
1980;07;28;04;40;00;1,91
1980;07;28;04;41;00;1,91
1980;07;28;04;42;00;1,90
1980;07;28;04;43;00;1,89
1980;07;28;04;44;00;1,89
1980;07;28;04;45;00;1,88
1980;07;28;04;46;00;1,88
1980;07;28;04;47;00;1,87
1980;07;28;04;48;00;1,87
1980;07;28;04;49;00;1,86
1980;07;28;04;50;00;1,86
1980;07;28;04;51;00;1,86
1980;07;28;04;52;00;1,85
1980;07;28;04;53;00;1,85
1980;07;28;04;54;00;1,84
1980;07;28;04;55;00;1,84
1980;07;28;04;56;00;1,84
1980;07;28;04;57;00;1,83
1980;07;28;04;58;00;1,83
1980;07;28;04;59;00;1,82
1980;07;28;05;00;00;1,82
1980;07;28;05;01;00;1,82
1980;07;28;05;02;00;1,81
1980;07;28;05;03;00;1,81
1980;07;28;05;04;00;1,80
1980;07;28;05;05;00;1,80
1980;07;28;05;06;00;1,80
1980;07;28;05;07;00;1,79
1980;07;28;05;08;00;1,79
1980;07;28;05;09;00;1,78
1980;07;28;05;10;00;1,78
1980;07;28;05;11;00;1,78
1980;07;28;05;12;00;1,77
1980;07;28;05;13;00;1,77
1980;07;28;05;14;00;1,76
1980;07;28;05;15;00;1,76
1980;07;28;05;16;00;1,75
1980;07;28;05;17;00;1,75
1980;07;28;05;18;00;1,74
1980;07;28;05;19;00;1,74
1980;07;28;05;20;00;1,73
1980;07;28;05;21;00;1,73
1980;07;28;05;22;00;1,72
1980;07;28;05;23;00;1,72
1980;07;28;05;24;00;1,71
1980;07;28;05;25;00;1,71
1980;07;28;05;26;00;1,71
1980;07;28;05;27;00;1,70
1980;07;28;05;28;00;1,70
1980;07;28;05;29;00;1,69
1980;07;28;05;30;00;1,69
1980;07;28;05;31;00;1,69
1980;07;28;05;32;00;1,68
1980;07;28;05;33;00;1,68
1980;07;28;05;34;00;1,67
1980;07;28;05;35;00;1,67
1980;07;28;05;36;00;1,67
1980;07;28;05;37;00;1,66
1980;07;28;05;38;00;1,66
1980;07;28;05;39;00;1,65
1980;07;28;05;40;00;1,65
1980;07;28;05;41;00;1,65
1980;07;28;05;42;00;1,64
1980;07;28;05;43;00;1,64
1980;07;28;05;44;00;1,63
1980;07;28;05;45;00;1,63
1980;07;28;05;46;00;1,63
1980;07;28;05;47;00;1,62
1980;07;28;05;48;00;1,62
1980;07;28;05;49;00;1,61
1980;07;28;05;50;00;1,61
1980;07;28;05;51;00;1,61
1980;07;28;05;52;00;1,60
1980;07;28;05;53;00;1,60
1980;07;28;05;54;00;1,59
1980;07;28;05;55;00;1,59
1980;07;28;05;56;00;1,59
1980;07;28;05;57;00;1,58
1980;07;28;05;58;00;1,57
1980;07;28;05;59;00;1,57
1980;07;28;06;00;00;1,56
1980;07;28;06;01;00;1,56
1980;07;28;06;02;00;1,55
1980;07;28;06;03;00;1,55
1980;07;28;06;04;00;1,54
1980;07;28;06;05;00;1,54
1980;07;28;06;06;00;1,54
1980;07;28;06;07;00;1,53
1980;07;28;06;08;00;1,53
1980;07;28;06;09;00;1,52
1980;07;28;06;10;00;1,52
1980;07;28;06;11;00;1,52
1980;07;28;06;12;00;1,51
1980;07;28;06;13;00;1,51
1980;07;28;06;14;00;1,50
1980;07;28;06;15;00;1,50
1980;07;28;06;16;00;1,50
1980;07;28;06;17;00;1,49
1980;07;28;06;18;00;1,49
1980;07;28;06;19;00;1,48
1980;07;28;06;20;00;1,48
1980;07;28;06;21;00;1,48
1980;07;28;06;22;00;1,47
1980;07;28;06;23;00;1,47
1980;07;28;06;24;00;1,46
1980;07;28;06;25;00;1,46
1980;07;28;06;26;00;1,46
1980;07;28;06;27;00;1,45
