Année;Mois;Jour;Heure;Minute;Seconde;Hauteur d'eau (m)
1939;08;22;11;46;12;4,44
1939;08;22;11;50;00;4,54
1939;08;22;11;55;00;4,66
1939;08;22;12;00;00;4,78
1939;08;22;12;05;00;4,90
1939;08;22;12;10;00;5,02
1939;08;22;12;15;00;5,14
1939;08;22;12;20;00;5,25
1939;08;22;12;25;00;5,37
1939;08;22;12;30;00;5,48
1939;08;22;12;35;00;5,59
1939;08;22;12;40;00;5,69
1939;08;22;12;45;00;5,80
1939;08;22;12;50;00;5,91
1939;08;22;12;55;00;6,00
1939;08;22;13;00;00;6,11
1939;08;22;13;05;00;6,21
1939;08;22;13;10;00;6,33
1939;08;22;13;15;00;6,44
1939;08;22;13;20;00;6,52
1939;08;22;13;25;00;6,57
1939;08;22;13;30;00;6,62
1939;08;22;13;35;00;6,65
1939;08;22;13;40;00;6,69
1939;08;22;13;45;00;6,73
1939;08;22;13;50;00;6,77
1939;08;22;13;55;00;6,80
1939;08;22;14;00;00;6,83
1939;08;22;14;05;00;6,85
1939;08;22;14;10;00;6,86
1939;08;22;14;15;00;6,88
1939;08;22;14;20;00;6,89
1939;08;22;14;25;00;6,91
1939;08;22;14;30;00;6,92
1939;08;22;14;35;00;6,93
1939;08;22;14;40;00;6,93
1939;08;22;14;45;00;6,94
1939;08;22;14;50;00;6,95
1939;08;22;14;55;00;6,95
1939;08;22;15;00;00;6,95
1939;08;22;15;05;00;6,95
1939;08;22;15;10;00;6,95
1939;08;22;15;15;00;6,96
1939;08;22;15;20;00;6,96
1939;08;22;15;25;00;6,96
1939;08;22;15;30;00;6,95
1939;08;22;15;35;00;6,94
1939;08;22;15;40;00;6,93
1939;08;22;15;45;00;6,92
1939;08;22;15;50;00;6,91
1939;08;22;15;55;00;6,90
1939;08;22;16;00;00;6,88
1939;08;22;16;05;00;6,87
1939;08;22;16;10;00;6,86
1939;08;22;16;15;00;6,83
1939;08;22;16;20;00;6,80
1939;08;22;16;25;00;6,77
1939;08;22;16;30;00;6,73
1939;08;22;16;35;00;6,70
1939;08;22;16;40;00;6,67
1939;08;22;16;45;00;6,64
1939;08;22;16;50;00;6,61
1939;08;22;16;55;00;6,57
1939;08;22;17;00;00;6,52
1939;08;22;17;05;00;6,46
1939;08;22;17;10;00;6,40
1939;08;22;17;15;00;6,34
1939;08;22;17;20;00;6,27
1939;08;22;17;25;00;6,21
1939;08;22;17;30;00;6,14
1939;08;22;17;35;00;6,07
1939;08;22;17;40;00;5,99
1939;08;22;17;45;00;5,91
1939;08;22;17;50;00;5,83
1939;08;22;17;55;00;5,74
1939;08;22;18;00;00;5,64
1939;08;22;18;05;00;5,56
1939;08;22;18;10;00;5,46
1939;08;22;18;15;00;5,37
1939;08;22;18;20;00;5,27
1939;08;22;18;25;00;5,17
1939;08;22;18;30;00;5,07
1939;08;22;18;35;00;4,97
1939;08;22;18;40;00;4,88
1939;08;22;18;45;00;4,77
1939;08;22;18;50;00;4,69
1939;08;22;18;55;00;4,60
1939;08;22;19;00;00;4,51
1939;08;22;19;05;00;4,40
1939;08;22;19;10;00;4,32
1939;08;22;19;15;00;4,22
1939;08;22;19;20;00;4,14
1939;08;22;19;25;00;4,03
1939;08;22;19;30;00;3,96
1939;08;22;19;35;00;3,90
1939;08;22;19;40;00;3,83
1939;08;22;19;45;00;3,76
1939;08;22;19;50;00;3,69
1939;08;22;19;55;00;3,63
1939;08;22;20;00;00;3,56
1939;08;22;20;05;00;3,49
1939;08;22;20;10;00;3,41
1939;08;22;20;15;00;3,35
1939;08;22;20;20;00;3,30
1939;08;22;20;25;00;3,25
1939;08;22;20;30;00;3,20
1939;08;22;20;35;00;3,16
1939;08;22;20;40;00;3,11
1939;08;22;20;45;00;3,06
1939;08;22;20;50;00;3,01
1939;08;22;20;55;00;2,96
1939;08;22;21;00;00;2,90
1939;08;22;21;05;00;2,87
1939;08;22;21;10;00;2,85
1939;08;22;21;15;00;2,81
1939;08;22;21;20;00;2,79
1939;08;22;21;25;00;2,75
1939;08;22;21;30;00;2,73
1939;08;22;21;35;00;2,71
1939;08;22;21;40;00;2,70
1939;08;22;21;45;00;2,69
1939;08;22;21;50;00;2,69
1939;08;22;21;55;00;2,68
1939;08;22;22;00;00;2,66
1939;08;22;22;05;00;2,65
1939;08;22;22;10;00;2,67
1939;08;22;22;15;00;2,69
1939;08;22;22;20;00;2,72
1939;08;22;22;25;00;2,76
1939;08;22;22;30;00;2,78
1939;08;22;22;35;00;2,81
1939;08;22;22;40;00;2,82
1939;08;22;22;45;00;2,85
1939;08;22;22;50;00;2,87
