# Img_path: D:\0000_ROVA\0000_PROJECTS\00000_BEYS\SHOM_GPAO\images\BORDEAUX_19800926_19801103_MM_01_test_dev_2.png
# origin_px: (509, 2330)
# origin_value: [0, 0]
# x_max_px: (7174, 2306)
# y_max_px: (7174, 124)
# x_max_value: 24
# y_max_value: 3.0
Année;Mois;Jour;Heure;Minute;Seconde;Hauteur d'eau (m)
1980;07;28;04;15;00;2,03
1980;07;28;05;00;00;1,83
1980;07;28;06;00;00;1,57
1980;07;28;07;00;00;1,32
1980;07;28;08;00;00;1,07
1980;07;28;09;00;00;0,90
1980;07;28;10;00;00;0,87
1980;07;28;11;00;00;0,92
1980;07;28;12;00;00;1,06
1980;07;28;13;00;00;1,27
1980;07;28;14;00;00;1,52
1980;07;28;15;00;00;1,78
1980;07;28;16;00;00;2,05
1980;07;28;17;00;00;2,26
1980;07;28;18;00;00;2,40
1980;07;28;19;00;00;2,43
1980;07;28;20;00;00;2,39
1980;07;28;21;00;00;2,27
1980;07;28;22;00;00;2,05
1980;07;28;23;00;00;1,76
1980;07;29;00;00;00;1,48
1980;07;29;03;55;12;1,74
1980;07;29;04;00;00;1,73
1980;07;29;05;00;00;1,52
1980;07;29;06;00;00;1,31
1980;07;29;07;00;00;1,14
1980;07;29;08;00;00;1,08
1980;07;29;09;00;00;1,10
1980;07;29;10;00;00;1,17
1980;07;29;11;00;00;1,29
1980;07;29;12;00;00;1,47
1980;07;29;13;00;00;1,67
1980;07;29;14;00;00;1,89
1980;07;29;15;00;00;2,06
1980;07;29;16;00;00;2,21
1980;07;29;17;00;00;2,31
1980;07;29;18;00;00;2,32
1980;07;29;19;00;00;2,26
1980;07;29;20;00;00;2,16
1980;07;29;21;00;00;2,00
1980;07;29;22;00;00;1,81
1980;07;29;23;00;00;1,59
1980;07;30;00;00;00;1,40
1980;07;30;03;55;12;1,52
1980;07;30;04;00;00;1,51
1980;07;30;05;00;00;1,37
1980;07;30;06;00;00;1,30
1980;07;30;07;00;00;1,28
1980;07;30;08;00;00;1,30
1980;07;30;09;00;00;1,35
1980;07;30;10;00;00;1,48
1980;07;30;11;00;00;1,64
1980;07;30;12;00;00;1,79
1980;07;30;13;00;00;1,93
1980;07;30;14;00;00;2,02
1980;07;30;15;00;00;2,08
1980;07;30;16;00;00;2,12
1980;07;30;17;00;00;2,12
1980;07;30;18;00;00;2,06
1980;07;30;19;00;00;1,97
1980;07;30;20;00;00;1,82
1980;07;30;21;00;00;1,66
1980;07;30;22;00;00;1,51
1980;07;30;23;00;00;1,37
1980;07;31;00;00;00;1,25
1980;07;31;03;49;48;1,45
1980;07;31;04;00;00;1,45
1980;07;31;05;00;00;1,43
1980;07;31;06;00;00;1,44
1980;07;31;07;00;00;1,47
1980;07;31;08;00;00;1,55
1980;07;31;09;00;00;1,65
1980;07;31;10;00;00;1,76
1980;07;31;11;00;00;1,88
1980;07;31;12;00;00;1,99
1980;07;31;13;00;00;2,06
1980;07;31;14;00;00;2,08
1980;07;31;15;00;00;2,06
1980;07;31;16;00;00;2,00
1980;07;31;17;00;00;1,92
1980;07;31;18;00;00;1,81
1980;07;31;19;00;00;1,69
1980;07;31;20;00;00;1,56
1980;07;31;21;00;00;1,44
1980;07;31;22;00;00;1,36
1980;07;31;23;00;00;1,32
1980;08;01;00;00;00;1,30
